userId,movieId
62757,537
118005,94959
118005,96821
62757,40723
118005,88810
118005,97921
62757,2471
62757,4563
62757,2470
118005,105844
118005,81834
118005,88129
118005,81847
118005,89904
118005,106487
118005,97938
118005,86882
118005,106489
118005,46578
118005,48738
118005,55247
118005,70286
118005,56367
118005,63876
62757,6365
118005,72998
118005,33166
62757,4148
62757,3967
118005,57669
62757,3948
118005,4007
62757,3751
62757,3210
118005,64620
118005,64839
62757,3101
118005,68157
118005,64614
118005,69481
62757,3020
118005,73017
118005,48774
62757,3005
118005,1302
118005,46976
118005,69757
10303,105844
118005,3360
118005,3098
118005,44195
118005,48394
118005,49530
118005,55290
62757,2406
118005,44191
118005,3448
118005,68358
118005,82459
118005,68954
118005,1185
62757,481
118005,1625
118005,27611
118005,59784
118005,3252
118005,3897
118005,2329
118005,1729
118005,59369
62757,3252
118005,4308
74937,96079
86728,1912
86728,2145
86728,193
86728,1373
86728,3361
86728,2231
86728,2478
86728,3105
86728,3263
86728,2116
86728,207
86728,5015
86728,65
86728,2803
86728,3264
86728,3526
86728,318
86728,858
86728,50
86728,527
86728,1221
86728,912
86728,904
86728,6016
86728,44555
86728,58559
86728,750
86728,1178
86728,908
86728,1198
97533,2612
127515,2918
91193,107634
22213,1431
22213,81845
83024,92475
83024,90531
113365,1517
113365,5459
113365,5218
113365,4720
113365,4638
113365,4447
113365,3863
127515,64614
18067,106438
18067,58803
67075,2606
47154,102517
78564,101717
79637,4085
79637,673
79637,1339
79637,2193
79637,1061
79637,3082
79637,55247
79637,3744
79637,2713
79637,2505
131548,1396
131548,4085
42369,105197
131548,105
79637,318
79637,858
79637,50
79637,527
79637,7502
79637,1221
79637,4973
79637,2959
79637,58559
131548,673
30376,102125
131548,2145
131548,193
30376,103042
79637,3267
79637,3984
79637,382
131548,2478
79637,4865
79637,2338
131548,1959
79637,1515
131548,3476
79637,7153
79637,2329
79637,296
79637,4226
79637,593
79637,1196
79637,2858
30376,107675
79637,79132
131548,67255
131548,39444
131548,8948
106733,66934
131548,8814
106733,81591
106733,919
19881,799
106733,81845
19881,91500
106733,1028
131548,99112
106733,2565
106733,2398
106733,1035
106733,57669
2930,107141
106733,3471
19881,31367
106733,924
106733,5060
106733,903
19881,99112
131548,87483
19881,73268
131548,318
131548,50
19881,100163
131548,7502
131548,2019
19881,85056
131548,1198
131548,904
131548,858
131548,750
19881,7410
131548,908
131548,1221
131548,87192
131548,1265
19881,102720
131548,2064
19881,103384
131548,53468
19881,31804
19881,102880
19881,53189
19881,106195
19881,98296
19881,82447
19881,58162
130193,31689
39969,68073
19881,78637
56730,47950
119048,103749
19881,85397
19881,8666
19881,103075
56730,3127
56730,586
56730,5942
56730,6549
19881,39446
56730,6155
136268,104272
19881,47382
56730,783
19881,58107
19881,106369
19881,99296
19881,104760
19881,103253
19881,101088
107640,85016
19881,97946
19881,81516
125063,1203
19881,79796
19881,6969
19881,91976
19881,44849
19881,78276
19881,43983
19881,5949
106733,1097
19881,2846
19881,1590
19881,101864
19881,51937
19881,60020
117269,79333
117269,74727
19881,73168
117269,1148
107640,31389
32899,7826
9797,103042
9797,103253
9797,103339
9797,103772
60361,97306
19881,75395
9797,85788
9797,104908
19881,6754
93710,58998
93710,107348
19881,58297
19881,65685
19881,94833
19881,100302
19881,58332
19881,26467
19881,101142
131548,5669
19881,69088
19881,91571
19881,14
131548,64614
131548,68237
19881,27461
131548,89492
131548,80463
131548,79132
19881,6748
19881,53550
19881,5198
19881,5882
9797,58
19881,65216
19881,91888
19881,2702
19881,101741
9797,6666
19881,1542
19881,74740
9797,2511
9797,3093
19881,89837
9797,3105
19881,99912
9797,4914
19881,25911
19881,41691
19881,5105
19881,69134
19881,80917
19881,55253
88889,106696
19881,31930
19881,5725
19881,3339
19881,8800
57716,90428
19881,43460
19881,2908
48085,8644
19881,4811
19881,5597
57716,93164
44501,46976
30250,104841
44501,40697
59477,107677
44501,106529
44501,60981
44501,106487
44501,106072
30250,79702
120609,106487
120609,91500
120609,7564
